Date,NG=F_Close,NG=F_High,NG=F_Low,NG=F_Open,NG=F_Volume
2022-01-03,3.815000057220459,3.8580000400543213,3.638000011444092,3.7019999027252197,99069
2022-01-04,3.7170000076293945,3.944000005722046,3.7090001106262207,3.816999912261963,133394
2022-01-05,3.881999969482422,3.8970000743865967,3.7170000076293945,3.746999979019165,96811
2022-01-06,3.812000036239624,3.930999994277954,3.8010001182556152,3.8420000076293945,116579
2022-01-07,3.9159998893737793,3.9800000190734863,3.799999952316284,3.859999895095825,127012
2022-01-10,4.078999996185303,4.2129998207092285,3.9769999980926514,4.144000053405762,177628
2022-01-11,4.249000072479248,4.261000156402588,4.006999969482422,4.11899995803833,121623
2022-01-12,4.85699987411499,4.879000186920166,4.185999870300293,4.224999904632568,217499
2022-01-13,4.269999980926514,4.843999862670898,4.244999885559082,4.790999889373779,221612
2022-01-14,4.26200008392334,4.304999828338623,4.0970001220703125,4.263000011444092,108856
2022-01-18,4.2829999923706055,4.389999866485596,4.216000080108643,4.355999946594238,119454
2022-01-19,4.031000137329102,4.385000228881836,4.010000228881836,4.327000141143799,116542
2022-01-20,3.802000045776367,4.0370001792907715,3.7809998989105225,4.014999866485596,104199
2022-01-21,3.999000072479248,4.044000148773193,3.8329999446868896,3.8380000591278076,70256
2022-01-24,4.0269999504089355,4.067999839782715,3.875999927520752,3.9149999618530273,47100
2022-01-25,4.052999973297119,4.078999996185303,3.8889999389648438,3.9590001106262207,23443
2022-01-26,4.2769999504089355,4.389999866485596,4.011000156402588,4.039999961853027,44321
2022-01-27,6.264999866485596,7.3460001945495605,4.230000019073486,4.230000019073486,193252
2022-01-28,4.638999938964844,4.875999927520752,4.285999774932861,4.3420000076293945,263418
2022-01-31,4.874000072479248,5.057000160217285,4.695000171661377,4.867000102996826,156746
2022-02-01,4.750999927520752,4.973999977111816,4.619999885559082,4.921000003814697,140785
2022-02-02,5.500999927520752,5.572000026702881,4.85699987411499,4.89300012588501,305898
2022-02-03,4.888000011444092,5.453999996185303,4.815999984741211,5.420000076293945,205841
2022-02-04,4.572000026702881,5.086999893188477,4.486999988555908,4.928999900817871,152119
2022-02-07,4.23199987411499,4.4679999351501465,4.119999885559082,4.383999824523926,192859
2022-02-08,4.248000144958496,4.38100004196167,4.172999858856201,4.276000022888184,154444
2022-02-09,4.008999824523926,4.258999824523926,3.9830000400543213,4.210999965667725,154599
2022-02-10,3.9590001106262207,4.067999839782715,3.881999969482422,4.034999847412109,141740
2022-02-11,3.940999984741211,4.056000232696533,3.875999927520752,3.944000005722046,177373
2022-02-14,4.195000171661377,4.229000091552734,4.039999961853027,4.103000164031982,121204
2022-02-15,4.306000232696533,4.427999973297119,4.1570000648498535,4.183000087738037,141954
2022-02-16,4.7170000076293945,4.739999771118164,4.369999885559082,4.39300012588501,155480
2022-02-17,4.486000061035156,4.793000221252441,4.4019999504089355,4.642000198364258,117789
2022-02-18,4.431000232696533,4.6539998054504395,4.370999813079834,4.517000198364258,73219
2022-02-22,4.498000144958496,4.861000061035156,4.447999954223633,4.593999862670898,42641
2022-02-23,4.623000144958496,4.703999996185303,4.452000141143799,4.504000186920166,47180
2022-02-24,4.567999839782715,4.940000057220459,4.293000221252441,4.603000164031982,184107
2022-02-25,4.46999979019165,4.716000080108643,4.416999816894531,4.572999954223633,114859
2022-02-28,4.4019999504089355,4.683000087738037,4.366000175476074,4.619999885559082,107186
2022-03-01,4.572999954223633,4.626999855041504,4.340000152587891,4.4079999923706055,112546
2022-03-02,4.76200008392334,4.910999774932861,4.599999904632568,4.599999904632568,141694
2022-03-03,4.7220001220703125,4.935999870300293,4.627999782562256,4.795000076293945,137151
2022-03-04,5.015999794006348,5.045000076293945,4.728000164031982,4.75,125385
2022-03-07,4.833000183105469,5.184000015258789,4.781000137329102,5.040999889373779,130864
2022-03-08,4.5269999504089355,4.881999969482422,4.506999969482422,4.817999839782715,159168
2022-03-09,4.526000022888184,4.625,4.449999809265137,4.568999767303467,95126
2022-03-10,4.63100004196167,4.671000003814697,4.499000072479248,4.519999980926514,81807
2022-03-11,4.724999904632568,4.796999931335449,4.622000217437744,4.6570000648498535,84506
2022-03-14,4.6579999923706055,4.758999824523926,4.50600004196167,4.704999923706055,73961
2022-03-15,4.567999839782715,4.682000160217285,4.459000110626221,4.678999900817871,86943
2022-03-16,4.748000144958496,4.776000022888184,4.593999862670898,4.625,80521
2022-03-17,4.989999771118164,5.000999927520752,4.690999984741211,4.747000217437744,93844
2022-03-18,4.86299991607666,4.956999778747559,4.810999870300293,4.929999828338623,67268
